CookerStat, GenerateAssetRegistry=16.548965, Initialize=32.930550, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
SavePackageTransactionId8ADD1AE24414B58BA43CEC891E56A1FB_0, Filename=../../../../../../Users/Admin/Documents/Unreal Projects/PracticeProject v2/Content/Maps/PracticeMap.umap, AutoPackageBackupDelegate=73.363441, FlushAsyncLoading=0.018552, FlushStreamingFunc=0.085268, BlockTillAllRequestsFinished=0.007499, ResetLoadersForSaveUnMarkAllObjects=329.372223, TagPackageExports=22.328585, BeginCacheForCookedPlatformData=0.005133, SerializeImports=168.435699, GatherLocalizableTextData=300.320526, MarkNames=1.298353, SerializeSummary=0.394758, SerializeNames=1.035839, SerializeGatherableTextData=0.249881, BuildExportMap=1.406517, SortExportsNonSeekfree=24.905556, SortExportsSeekfreeConstructor=19.078560, SortExportsSeekfreeInner=135.002228, SortExportsSeekfree=0.007894, BuildDependencyMap=1.677714, SerializeImportMap=0.127111, SerializeExportMap=0.684902, SerializeDependencyMap=0.169747, SerializeStringAssetReferenceMap=0.004340, SaveThumbNailsAssetRegistryDataWorldLevelInfo=12.796413, SerializeExports=71.714149, SerializeBulkData=270.575684, MoveFile=3.206208, UnaccountedTime=79.862701, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionIdEFFD46EC4998CF8D6463C6B394448D6D_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_CD5BFBFA4F5D0962B432D5B186F2ECE9_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.19-18.28.14, Duration=141.872559, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId24E116774E46A457564A32ADBC5EF8F8_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_4852177A4A889CFDC6790092D8429855_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.19-18.28.14, Duration=130.056732, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId78638DA941FD5A7DFA7D10B8183C8381_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_4852177A4A889CFDC6790092D8429855__E44F55F977F57A3951D8B69C53F7CAFB2057FCDF, StartTime=2016.04.19-18.28.14, HierarchicalDDC=, DataSize=3267, Duration=1.675740, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId546B9D23402F54FE6796F3AC50C61B99_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_CD5BFBFA4F5D0962B432D5B186F2E__B337C6B0138D78F2AC8157966734BD551B944734, StartTime=2016.04.19-18.28.14, HierarchicalDDC=, DataSize=6014, Duration=1.715217, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId29A6FD1C41B60CC74DDC62BC426120E3_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_CB2A2DB8468ED2921474F298BC011E6C__060E07FA23C1D1ECB2D0D78836078448B06FD0E3, StartTime=2016.04.19-18.28.14, HierarchicalDDC=, DataSize=524550, Duration=2.401695, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId78638DA941FD5A7DFA7D10B8183C8381_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_CB2A2DB8468ED2921474F298BC011E6C__723DF7621C8054CB0F3C4483A1B91CD2F7E0005B, StartTime=2016.04.19-18.28.14, HierarchicalDDC=, DataSize=131332, Duration=11.616092, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId546B9D23402F54FE6796F3AC50C61B99_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_CB2A2DB8468ED2921474F298BC011E6C__5BAFF951BA69732C45669E9A8099B87AFFF37E32, StartTime=2016.04.19-18.28.14, HierarchicalDDC=, DataSize=33028, Duration=26.778671, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId29A6FD1C41B60CC74DDC62BC426120E3_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_CB2A2DB8468ED2921474F298BC011E6C__AA2C40C41D59EE7E66CDD4CEC5893C6005DFBC31, StartTime=2016.04.19-18.28.14, HierarchicalDDC=, DataSize=8452, Duration=39.408104, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId78638DA941FD5A7DFA7D10B8183C8381_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_CB2A2DB8468ED2921474F298BC011E6C__5CE59E339F9C681901DA9EB9E83AC61D0BCFF8A5, StartTime=2016.04.19-18.28.14, HierarchicalDDC=, DataSize=4437, Duration=1.202032, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId78638DA941FD5A7DFA7D10B8183C8381_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B7D07BCA4BFC0FAC6A58FEBEF6DFF__6B9FAFB5851F514F0C6E9DA5301DCCAFF7750291, StartTime=2016.04.19-18.28.14, HierarchicalDDC=, DataSize=1048841, Duration=3.342397, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId546B9D23402F54FE6796F3AC50C61B99_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B7D07BCA4BFC0FAC6A58FEBEF6DFF__CEA414FF7AE641EB9AAF69EC8AD4511C1ED19592, StartTime=2016.04.19-18.28.14, HierarchicalDDC=, DataSize=262407, Duration=18.126015, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId29A6FD1C41B60CC74DDC62BC426120E3_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B7D07BCA4BFC0FAC6A58FEBEF6DFF__E1F4ADABEF5BC20EA0E496573083C2AE58BEB980, StartTime=2016.04.19-18.28.14, HierarchicalDDC=, DataSize=65799, Duration=14.982574, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId78638DA941FD5A7DFA7D10B8183C8381_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B7D07BCA4BFC0FAC6A58FEBEF6DFF__CD93EEB021A086C06682739F0905E7A5F0EBA657, StartTime=2016.04.19-18.28.14, HierarchicalDDC=, DataSize=16647, Duration=20.374149, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId29A6FD1C41B60CC74DDC62BC426120E3_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B7D07BCA4BFC0FAC6A58FEBEF6DFF__ACC34356528C5DF1735180C8C2DEFA44FA8793EA, StartTime=2016.04.19-18.28.14, HierarchicalDDC=, DataSize=7196, Duration=1.317304, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId29A6FD1C41B60CC74DDC62BC426120E3_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_DBCE93BC47A68E4773D84B9EB06073E2__38D3536F1D38458A7CE7E2C3BCEDAD02CE37A630, StartTime=2016.04.19-18.28.14, HierarchicalDDC=, DataSize=524550, Duration=2.170369, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId546B9D23402F54FE6796F3AC50C61B99_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_DBCE93BC47A68E4773D84B9EB06073E2__78BC5C57B46DC254421A63334E727A29F243F20A, StartTime=2016.04.19-18.28.14, HierarchicalDDC=, DataSize=131332, Duration=1.846272, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId78638DA941FD5A7DFA7D10B8183C8381_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_DBCE93BC47A68E4773D84B9EB06073E2__09F6296CB6381F2A4070C7E4C19F0A4A1804AA28, StartTime=2016.04.19-18.28.14, HierarchicalDDC=, DataSize=33028, Duration=40.983181, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId546B9D23402F54FE6796F3AC50C61B99_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_DBCE93BC47A68E4773D84B9EB06073E2__1B870064A75634B1F01E16D9DD16B09D22761CEA, StartTime=2016.04.19-18.28.14, HierarchicalDDC=, DataSize=8452, Duration=1.530863, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId29A6FD1C41B60CC74DDC62BC426120E3_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_DBCE93BC47A68E4773D84B9EB06073E2__62FFFA92FDB9482DB7518FAB55F2766B6F0DA3AD, StartTime=2016.04.19-18.28.14, HierarchicalDDC=, DataSize=4437, Duration=1.480334, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId546B9D23402F54FE6796F3AC50C61B99_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_00B8DDAC4CEAD598715FE1A560C28__4C760AE1DDB1B911C58425A5B827A107FD40EF63, StartTime=2016.04.19-18.28.15, HierarchicalDDC=, DataSize=1048841, Duration=3.242921, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId29A6FD1C41B60CC74DDC62BC426120E3_16, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_00B8DDAC4CEAD598715FE1A560C28__55337581EF2C5C5D2ED74501D3FA4125B3294C34, StartTime=2016.04.19-18.28.15, HierarchicalDDC=, DataSize=262407, Duration=2.358668, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId78638DA941FD5A7DFA7D10B8183C8381_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_00B8DDAC4CEAD598715FE1A560C28__7D4A32F3D0FCD545B3F5A1E6AD8816998717D0EE, StartTime=2016.04.19-18.28.15, HierarchicalDDC=, DataSize=65799, Duration=1.588892, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
