CookerStat, GenerateAssetRegistry=0.024080, Initialize=0.101060, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionId21112CA94E495771011B21B731272010_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D644D1C548974E2D539C4D86EF3B3387__1_0_13123_0, StartTime=2016.04.20-13.00.52, HierarchicalDDC=, DataSize=458, Duration=16.925163, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdC80E5E9141CD24D9A784028F55D42357_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8491A8C547DE094E2E604BB531B166AC__1_0_13123_0, StartTime=2016.04.20-13.00.52, HierarchicalDDC=, DataSize=458, Duration=16.423035, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_287DB11A4D53B02F4461D5A2D66FA8E4__1_0_13123_0, StartTime=2016.04.20-13.00.52, HierarchicalDDC=, DataSize=397, Duration=0.922546, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionId21112CA94E495771011B21B731272010_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4F95143C409B16274D03BBB0A1E13B61__1_0_13123_0, StartTime=2016.04.20-13.00.52, HierarchicalDDC=, DataSize=817, Duration=1.436517, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdC80E5E9141CD24D9A784028F55D42357_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B313517D46DE3C602D929E905D1971CE__1_0_13123_0, StartTime=2016.04.20-13.00.52, HierarchicalDDC=, DataSize=423, Duration=1.447175, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_86D624234F86A6AF7DEF849E8F323BF4__1_0_13123_0, StartTime=2016.04.20-13.00.52, HierarchicalDDC=, DataSize=837, Duration=1.082424, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionId21112CA94E495771011B21B731272010_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7F97BF884FAD857E7E5375823182A781__1_0_13123_0, StartTime=2016.04.20-13.00.52, HierarchicalDDC=, DataSize=347, Duration=0.995968, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_23, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7AFCA9384D9F914DEBEFCF8559FACFCA__1_0_13123_0, StartTime=2016.04.20-13.00.52, HierarchicalDDC=, DataSize=1319, Duration=1.085185, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdC80E5E9141CD24D9A784028F55D42357_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EECE7E0946C052738FA5E0A1340CEB92__1_0_13123_0, StartTime=2016.04.20-13.00.52, HierarchicalDDC=, DataSize=513, Duration=1.680084, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionId21112CA94E495771011B21B731272010_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6AC7EDD24AB97E2C3947799D9443F535__1_0_13123_0, StartTime=2016.04.20-13.00.52, HierarchicalDDC=, DataSize=3445, Duration=1.592051, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_24, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_89EEFCA94BA1923829153793AF04AD7F__1_0_13123_0, StartTime=2016.04.20-13.00.52, HierarchicalDDC=, DataSize=385, Duration=1.135714, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdC80E5E9141CD24D9A784028F55D42357_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D05188154C115233129CF192FA732041__1_0_13123_0, StartTime=2016.04.20-13.00.52, HierarchicalDDC=, DataSize=577, Duration=1.376908, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_25, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_58A312CD432DABE9F88249B6190389B4__1_0_13123_0, StartTime=2016.04.20-13.00.52, HierarchicalDDC=, DataSize=819, Duration=1.112025, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionId21112CA94E495771011B21B731272010_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FA6C9E4D4D53B256374D6B8834298DA1__1_0_13123_0, StartTime=2016.04.20-13.00.52, HierarchicalDDC=, DataSize=449, Duration=1.707714, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
